,0
0,"[7, 21, 35, 35, 21, 7, 1]"
1,0.019475936889648438
2,"[7, 21, 35, 35, 21, 7, 1]"
3,0.014734029769897461
4,"[3, 3, 1, 0, 0, 0, 0]"
5,0.013940572738647461
6,"[7, 21, 35, 35, 21, 7, 1]"
7,0.014698505401611328
8,"[7, 21, 35, 35, 21, 7, 1]"
9,0.01507425308227539
10,"[3, 4, 1, 0, 0, 0, 0]"
11,0.015111923217773438
12,"[7, 21, 35, 35, 21, 7, 1]"
13,0.019064903259277344
14,"[7, 21, 35, 35, 21, 7, 1]"
15,0.014923334121704102
16,"[4, 6, 4, 1, 0, 0, 0]"
17,0.016948938369750977
18,"[7, 21, 35, 35, 21, 7, 1]"
19,0.016030311584472656
20,"[3, 4, 1, 0, 0, 0, 0]"
21,0.015790224075317383
22,"[7, 21, 35, 35, 21, 7, 1]"
23,0.015469551086425781
24,"[3, 3, 1, 0, 0, 0, 0]"
25,0.01506805419921875
26,"[3, 3, 1, 0, 0, 0, 0]"
27,0.014927148818969727
28,"[4, 6, 4, 1, 0, 0, 0]"
29,0.016956567764282227
30,"[4, 6, 4, 1, 0, 0, 0]"
31,0.016104459762573242
32,"[7, 21, 35, 35, 21, 7, 1]"
33,0.014546871185302734
34,"[3, 3, 1, 0, 0, 0, 0]"
35,0.013726949691772461
36,"[3, 3, 1, 0, 0, 0, 0]"
37,0.013580322265625
38,"[3, 3, 1, 0, 0, 0, 0]"
39,0.013723611831665039
40,"[3, 3, 1, 0, 0, 0, 0]"
41,0.013834953308105469
42,"[7, 21, 35, 35, 21, 7, 1]"
43,0.014738082885742188
44,"[3, 3, 1, 0, 0, 0, 0]"
45,0.014542579650878906
46,"[3, 3, 1, 0, 0, 0, 0]"
47,0.014365434646606445
48,"[4, 14, 20, 15, 6, 1, 0]"
49,0.01568603515625
50,"[3, 3, 1, 0, 0, 0, 0]"
51,0.019587039947509766
52,"[4, 10, 6, 1, 0, 0, 0]"
53,0.016292572021484375
54,"[3, 3, 1, 0, 0, 0, 0]"
55,0.014278411865234375
56,"[3, 3, 1, 0, 0, 0, 0]"
57,0.013621091842651367
58,"[7, 21, 35, 35, 21, 7, 1]"
59,0.01352548599243164
60,"[7, 21, 35, 35, 21, 7, 1]"
61,0.013161420822143555
62,"[3, 4, 1, 0, 0, 0, 0]"
63,0.013499021530151367
64,"[7, 21, 35, 35, 21, 7, 1]"
65,0.013259410858154297
66,"[3, 3, 1, 0, 0, 0, 0]"
67,0.012452363967895508
68,"[7, 21, 35, 35, 21, 7, 1]"
69,0.013358116149902344
70,"[7, 21, 35, 35, 21, 7, 1]"
71,0.015337467193603516
72,"[7, 21, 35, 35, 21, 7, 1]"
73,0.01498723030090332
74,"[3, 3, 1, 0, 0, 0, 0]"
75,0.014113187789916992
76,"[4, 6, 4, 1, 0, 0, 0]"
77,0.016727209091186523
78,"[7, 21, 35, 35, 21, 7, 1]"
79,0.015144824981689453
80,"[7, 21, 35, 35, 21, 7, 1]"
81,0.01533365249633789
82,"[3, 3, 1, 0, 0, 0, 0]"
83,0.014598608016967773
84,"[3, 3, 1, 0, 0, 0, 0]"
85,0.013446331024169922
86,"[3, 3, 1, 0, 0, 0, 0]"
87,0.013367652893066406
88,"[3, 3, 1, 0, 0, 0, 0]"
89,0.013167142868041992
90,"[4, 14, 20, 15, 6, 1, 0]"
91,0.014956235885620117
92,"[3, 4, 1, 0, 0, 0, 0]"
93,0.014534235000610352
94,"[3, 3, 1, 0, 0, 0, 0]"
95,0.013271331787109375
96,"[7, 21, 35, 35, 21, 7, 1]"
97,0.01441049575805664
